approach,starting_age,terminal_worst_1pct_mean,terminal_worst_2pct_mean,terminal_worst_4pct_mean,terminal_worst_10pct_mean,terminal_worst_50pct_mean,terminal_mean,annual_contribution,normalization
Ours,30,2.8294704421487817,3.4891537997126743,4.351942901008308,6.00306743339494,12.885363843540254,26.629756536135215,0.0643670745766518,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,31,2.4788704688059835,3.0456694536499476,3.793498064238929,5.244542041056257,11.254869790802083,23.206483088791654,0.056022036197154,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,32,2.1915592856630792,2.695674725761256,3.360029110296175,4.642982077549781,9.936177087799916,20.39232527793628,0.0492554505854136,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,33,1.9761338369037633,2.427908632250595,3.015743611376377,4.150159860429819,8.840857248606028,18.039383223708718,0.0436076643051984,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,34,1.7773960979562096,2.178480078811414,2.6986634148317177,3.7124682927508244,7.912537562692306,16.03016016475394,0.0388050714004152,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,35,1.595461650934562,1.958350123068247,2.422957576521223,3.33483044008935,7.110680915314601,14.336818128183337,0.0346932619842955,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,36,1.452662172523104,1.778141505873985,2.201580703489487,3.0227444928925613,6.40349492639778,12.865314072191532,0.0311137861434605,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,37,1.3155433660580071,1.605965854187077,1.9927162853676847,2.7444512738457614,5.797728043871546,11.580212161952387,0.0279823840675537,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,38,1.205585566224276,1.4724866371099847,1.8235898669785873,2.508758111200007,5.265807887992479,10.457965493346926,0.0252717367121662,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,39,1.119930703899485,1.361646591008367,1.678176387037171,2.2980243797663378,4.803670281942085,9.473995284419242,0.0228971656423944,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
